0,100000
1,95399
2,95089.907
3,94950.125
4,94852.326
5,94784.981
6,94731.901
7,94678.851
8,94635.299
9,94590.82
10,94552.984
11,94517.999
12,94477.356
13,94439.584
14,94396.416
15,94345.159
16,94281.948
17,94206.343
18,94119.852
19,94022.57
20,93921.646
21,93825.818
22,93731.232
23,93638.279
24,93547.057
25,93458.861
26,93368.197
27,93273.643
28,93171.387
29,93058.146
30,92932.434
31,92794.662
32,92650.849
33,92501.783
34,92351.745
35,92196.428
36,92050.057
37,91917.689
38,91794.74
39,91670.514
40,91545.952
41,91417.119
42,91283.888
43,91145.492
44,91002.302
45,90845.642
46,90677.886
47,90497.99
48,90307.935
49,90103.36
50,89894.672
51,89672.075
52,89432.929
53,89175.317
54,88893.996
55,88586.876
56,88252.762
57,87891.623
58,87502.667
59,87085.778
60,86636.772
61,86154.058
62,85632.154
63,85067.761
64,84457.655
65,83802.086
66,83096.992
67,82341.507
68,81529.167
69,80655.174
70,79709.282
71,78678.968
72,77551.074
73,76316.756
74,74969.094
75,73502.624
76,71916.937
77,70209.65
78,68365.917
79,66359.405
80,64184.628
81,61831.568
82,59294.353
83,56578.98
84,53678.741
85,50577.951
86,47299.746
87,43859.215
88,40267.685
89,36516.444
90,32619.88
91,28665.414
92,24847.29
93,21319.34
94,18149.951
95,15299.245
96,12723.232
97,10411.044
98,8434.895
99,6762.6
100,5332.964
101,4087.418
102,2984.653
103,2103.412
104,1425.894
105,925.043
106,573.071
107,337.871
108,188.836
109,99.664
110,49.466
111,22.979
112,9.95
113,3.994
114,1.479
115,0.502
116,0.155
117,0.043
118,0.011
119,0.002
120,0
