0,100000
1,99388
2,99345.95888
3,99310.9891
4,99282.9834
5,99259.94975
6,99239.9985
7,99224.02086
8,99208.04579
9,99195.04954
10,99182.05498
11,99168.07032
12,99154.08762
13,99140.10689
14,99125.13673
15,99108.08721
16,99088.06738
17,99065.07895
18,99040.11455
19,99013.07659
20,98986.04602
21,98958.03297
22,98931.01743
23,98903.01995
24,98874.04137
25,98842.00618
26,98807.01611
27,98767.98734
28,98725.02326
29,98678.03015
30,98627.01361
31,98574.0509
32,98519.04658
33,98462.00406
34,98402.04069
35,98339.06339
36,98273.07788
37,98204.09018
38,98131.12454
39,98055.17105
40,97973.19692
41,97886.2947
42,97795.35833
43,97697.56297
44,97592.245
45,97480.69706
46,97359.43108
47,97228.67736
48,97087.98746
49,96937.98652
50,96778.81435
51,96609.93532
52,96430.24084
53,96237.66965
54,96030.75866
55,95810.07997
56,95576.20757
57,95329.81211
58,95071.65898
59,94800.32446
60,94512.51068
61,94204.68343
62,93872.89453
63,93513.36135
64,93122.94306
65,92699.60616
66,92241.48471
67,91747.34708
68,91216.49693
69,90645.29922
70,90029.27377
71,89362.96711
72,88640.19944
73,87857.41784
74,87014.77734
75,86108.77948
76,85135.57805
77,84057.50623
78,82843.46367
79,81457.65821
80,79873.71404
81,78075.83661
82,76060.69927
83,73817.13682
84,71344.26274
85,68570.68318
86,65528.61339
87,62180.16678
88,58546.04693
89,54655.60357
90,50529.87067
91,46247.0599
92,41811.27315
93,37296.11557
94,32769.82169
95,28307.06352
96,24008.40947
97,19951.3484
98,16213.20391
99,12856.73022
100,9928.867047
101,7450.860125
102,5420.746619
103,3820.048929
104,2600.685491
105,1705.680385
106,1074.483124
107,648.0433364
108,372.9191301
109,203.9916121
110,105.6425641
111,51.55357129
112,23.73583131
113,10.26869028
114,4.15580057
115,1.565564879
116,0.545929695
117,0.175096577
118,0.051271079
